Questions,Module,Subject
"For the given Order processing system scenario draw DFD level 9, 1and 2. The 10 customer can place order",1,SE
What are the different levels of Capability Maturity Model (CMM)?,4,SE
Compare agile and traditional Software Development models.,5,SE
What are the different probable Origins of changes that are requested for software,1,SE
"With suitable examples, explain the differences between 'known risks' and predictable",1,SE
Explain waterfall model give its advantage and disadvantages,6,SE
List evolutionary models and explain any one in detall,5,SE
"Draw the DFD up to Level 2 for a Restaurant Management System which has food ordering, food delivering,",4,SE
What are different requirements engineering tasks? Why identifying software requirements difficult,6,SE
Explain software†design†concepts,1,SE
What are different attributes of software quality?,1,SE
Define Software Engineering and explain Software Process Framework,1,SE
What is CMM? Explain its different levels,4,SE
What is agile development? What are its advantages,1,SE
What is the role of analysis and design in software development,4,SE
"What is Prescriptive Model? Explain Waterfall and Incremental Model, How are they different",1,SE
Explain Component based model and formal methods model,1,SE
What is agility? Explain its principles,1,SE
Explain XP,6,SE
Explain core principles of Software Engineering Practice,6,SE
Explain design concepts in brief,5,SE
Explain quality guidelines and quality attributes of†software†design,1,SE
Define Risk. Identify two risks for your final year examination and prepare†RMMM†plan,1,SE
Explain software process framework,6,SE
Elaborate on principles that guide process and practice,1,SE
What is metric? Exlain project and process metrics,1,SE
What is evolutionary model? Compare prototype and spiral model,1,SE
Explain agility principles. Explain XP agile development proces,2,SE
What is the need of creating models? Explain mod,6,SE
Explain requirements engineering activities.,6,SE
What is quality? Explain McCall's Quality Factors.,5,SE
List six quality attributes†for†ISO†9126,4,SE
Identify three risks associated with your final year project. Perform risk assessment and prepare RMMM plan.,1,SE
List any five configuration items produced during SDLC. Explain change†control†process,1,SE
What is the difference between Prescriptive & Evolutionary model?,6,SE
List & Elaborate Software Engineering Practice core principles.,3,SE
Explain following design Concepts: Abstraction & Modularity.,1,SE
Explain different metrics for size estimation with their advantages and disadvantages,2,SE
Explain Agile methodology with XP Agile Development Process.,4,SE
What is the importance of Requirement Analysis? Explain different Requirement Engineering tasks,1,SE
Explain how Change Control & Version Control are carried out in Software Configuration,5,SE
"What is Evolutionary model? p among scope, schedule and budget. volutionary models. Explain any one in detail.",1,SE
Risks? with software Projects? How do Project Managers manage such question,1,SE
What is CMMI?How it is different from CMM. Explain all†levels†of†CMML,1,SE
Explain Evolutionary process model?,6,SE
Discuss about the principles of user interface design steps?,3,SE
Explain Mc Calls Quality factors?,1,SE
Short note on Process Metrics and project metrics.,3,SE
What is agility? Explain Kanban model,4,SE
Explain feasibility studies in detail.,5,SE
Explain different architectural styles?,6,SE
Explain Risk assessment and Risk Projection.,5,SE
Explain in details Reengineering and reverse engineering,2,SE
What is SCM? Explain SCM Repositories.,6,SE
Explain requirement elicitation in detai,6,SE
Explain different types of coupling and cohesion.,3,SE
Explain in detail software testing†strategies.,,
Compute the function point value for a project with the following information,,
,,
Time complexity,1,ADSA
Space complexity,1,ADSA
Asymptotic analysis,1,ADSA
Asymptotic,1,ADSA
asymptotic,1,ADSA
Big O notation,1,ADSA
Big O,1,ADSA
Big Theta,1,ADSA
Big Omega,1,ADSA
Omega notation,1,ADSA
Omega,1,ADSA
Theta notation,1,ADSA
Theta,1,ADSA
Average case analysis,1,ADSA
Average case,1,ADSA
Worst-case analysis,1,ADSA
Worst-case,1,ADSA
Recurrence relations,1,ADSA
Recurrence,1,ADSA
Substitution method,1,ADSA
Substitution,1,ADSA
Recursive tree method,1,ADSA
Recursive tree,1,ADSA
Master's theorem,1,ADSA
Master,1,ADSA
Iterative algorithms,1,ADSA
Recursive algorithms,1,ADSA
Algorithm analysis,1,ADSA
Algorithm complexity,1,ADSA
Algorithm performance,1,ADSA
Data structures,1,ADSA
Space-time tradeoff,1,ADSA
Complexity classes,1,ADSA
O(n),1,ADSA
T(n),1,ADSA
T(n) = T(n/2) + 1,1,ADSA
T(n) = T(n/2) + n,1,ADSA
Red-Black Trees,2,ADSA
red black,2,ADSA
red-black,2,ADSA
Red-Black tree properties,2,ADSA
Red-Black tree insertion,2,ADSA
Red-Black tree deletion,2,ADSA
Heap,2,ADSA
Binary heap,2,ADSA
Min-heap,2,ADSA
min heap,2,ADSA
Max-heap,2,ADSA
max heap,2,ADSA
Heap operations,2,ADSA
Heapify,2,ADSA
Percolate,2,ADSA
percolate up,2,ADSA
percolate down,2,ADSA
Heap insertion,2,ADSA
Heap deletion,2,ADSA
Binary heap,2,ADSA
Heapify-up,2,ADSA
Heapify up,2,ADSA
Heapify-down,2,ADSA
Heapify down,2,ADSA
Priority queue,2,ADSA
Priority queue using heap,2,ADSA
Priority queue operations,2,ADSA
Topological Sort,2,ADSA
Directed Acyclic Graph,2,ADSA
DAG,2,ADSA
Directed Acyclic Graph(DAG),2,ADSA
Topological ordering,2,ADSA
Topological sorting algorithm,2,ADSA
Dependency resolution,2,ADSA
Topology Graph traversal,2,ADSA
B/B+ tree,2,ADSA
B,2,ADSA
B+,2,ADSA
B tree,2,ADSA
B+ tree,2,ADSA
B-tree properties,2,ADSA
B+ tree properties,2,ADSA
B-tree insertion,2,ADSA
B+ tree insertion,2,ADSA
B-tree deletion,2,ADSA
B+ tree deletion,2,ADSA
B-tree node split,2,ADSA
B+ tree node split,2,ADSA
B-tree node merge,2,ADSA
B+ tree node merge,2,ADSA
B-tree search,2,ADSA
B+ tree search,2,ADSA
Red-Black Trees,2,ADSA
Red-Black tree rotations,2,ADSA
Red-Black tree balancing,2,ADSA
Heap operations,2,ADSA
Heap sort,2,ADSA
Heap-based priority queue,2,ADSA
Topological ordering,2,ADSA
Topological sorting algorithm,2,ADSA
Dependency resolution,2,ADSA
Topological sort applications,2,ADSA
Critical path analysis,2,ADSA
Divide,3,ADSA
Conquer,3,ADSA
Divide and conquer,3,ADSA
Divide and conquer algorithm,3,ADSA
Analysis of algorithms,3,ADSA
Binary Search,3,ADSA
Binary Search analysis,3,ADSA
Binary Search time complexity,3,ADSA
Ternary Search,3,ADSA
Merge sort,3,ADSA
Merge function,3,ADSA
Merge,3,ADSA
Merge sort analysis,3,ADSA
Merge sort time complexity,3,ADSA
Quick sort,3,ADSA
Pivot,3,ADSA
Pivot element,3,ADSA
Quick sort analysis,3,ADSA
Quick sort time complexity,3,ADSA
min amd max,3,ADSA
max and min,3,ADSA
minimum and maximum,3,ADSA
maximum and minimum,3,ADSA
Finding minimum and maximum algorithm,3,ADSA
Divide and conquer algorithms analysis,3,ADSA
Greedy Algorithms,3,ADSA
Greedy algorithm design,3,ADSA
Knapsack Problem,3,ADSA
fractional Knapsack,3,ADSA
fractional,3,ADSA
Knapsack algorithm,3,ADSA
Greedy Knapsack solution,3,ADSA
Job sequencing using deadlines,3,ADSA
deadline,3,ADSA
job,3,ADSA
job sequenceing,3,ADSA
Greedy job scheduling,3,ADSA
Optimal storage,3,ADSA
tape,3,ADSA
disk,3,ADSA
Optimal storage on tape,3,ADSA
Greedy tape storage,3,ADSA
Optimal Merge Pattern,3,ADSA
Greedy merge pattern,3,ADSA
Greedy algorithm analysis,3,ADSA
Algorithmic problem solving,3,ADSA
Minimum and maximum algorithm implementation,3,ADSA
Knapsack problem solution,3,ADSA
Job sequencing implementation,3,ADSA
profit,3,ADSA
value,3,ADSA
cost,3,ADSA
dynamic,4,ADSA
Dynamic Algorithms,4,ADSA
Dynamic programming,4,ADSA
Introduction to dynamic programming,4,ADSA
Dynamic programming concepts,4,ADSA
Dynamic programming approach,4,ADSA
Dynamic programming paradigm,4,ADSA
Optimal substructure,4,ADSA
Overlapping subproblems,4,ADSA
Overlapping,4,ADSA
Memoization,4,ADSA
Tabulation,4,ADSA
All pair shortest path,4,ADSA
pair shortest path,4,ADSA
Floyd-Warshall algorithm,4,ADSA
Floyd-Warshall,4,ADSA
Floyd Warshall,4,ADSA
Floyd,4,ADSA
Warshall,4,ADSA
FW,4,ADSA
Dijkstra's algorithm,4,ADSA
Bellman-Ford algorithm,4,ADSA
Shortest path algorithms,4,ADSA
0/1 knapsack,4,ADSA
0/1,4,ADSA
Dynamic knapsack solution,4,ADSA
Dynamic knapsack,4,ADSA
Travelling salesman problem,4,ADSA
Travelling salesman,4,ADSA
salesman,4,ADSA
TSP,4,ADSA
TSP algorithm,4,ADSA
TSP heuristic,4,ADSA
Nearest neighbor algorithm,4,ADSA
Nearest neighbor,4,ADSA
Dynamic programming TSP solution,4,ADSA
Matrix Chain Multiplication,4,ADSA
matrix chain,4,ADSA
Matrix,4,ADSA
Matrix chain multiplication algorithm,4,ADSA
Dynamic programming matrix multiplication,4,ADSA
Optimal binary search tree,4,ADSA
Optimal BST,4,ADSA
OBST algorithm,4,ADSA
OBST,4,ADSA
Dynamic programming OBST solution,4,ADSA
Algorithmic problem solving,4,ADSA
Problem-solving techniques,4,ADSA
Dynamic programming coding,4,ADSA
Dynamic programming examples,4,ADSA
code optimization,4,ADSA
Dynamic programming patterns,4,ADSA
Algorithmic optimization,4,ADSA
Algorithmic strategies,4,ADSA
Recursive algorithms,4,ADSA
Dynamic programming recursion,4,ADSA
Dynamic programming iteration,4,ADSA
string,5,ADSA
string matching,5,ADSA
String matching algorithms,5,ADSA
Na√Øve string matching,5,ADSA
Naive string matching,5,ADSA
Na√Øve,5,ADSA
Naive,5,ADSA
Naive string,5,ADSA
Rabin-Karp algorithm,5,ADSA
Rabin-Karp,5,ADSA
Rabin Karp,5,ADSA
Boyer-Moore algorithm,5,ADSA
Boyer-Moore,5,ADSA
Boyer Moore,5,ADSA
Knuth-Morris-Pratt algorithm,5,ADSA
Knuth-Morris-Pratt,5,ADSA
Knuth Morris Pratt,5,ADSA
KMP,5,ADSA
String searching algorithms,5,ADSA
Pattern matching,5,ADSA
String pattern matching,5,ADSA
String algorithms,5,ADSA
Algorithmic pattern matching,5,ADSA
String matching techniques,5,ADSA
Longest Common Subsequence(LCS),5,ADSA
Longest Common Subsequence,5,ADSA
LCS,5,ADSA
Common Subsequence,5,ADSA
LCS algorithm,5,ADSA
Dynamic programming LCS,5,ADSA
LCS applications,5,ADSA
Text comparison,5,ADSA
Text alignment,5,ADSA
sequence,5,ADSA
Sequence alignment,5,ADSA
Substring matching,5,ADSA
Implementation of Rabin-Karp algorithm,5,ADSA
Rabin-Karp algorithm coding,5,ADSA
Rabin-Karp implementation,5,ADSA
Pattern rolling hash,5,ADSA
Implementation of Knuth-Morris-Pratt algorithm,5,ADSA
KMP algorithm coding,5,ADSA
KMP implementation,5,ADSA
Prefix function,5,ADSA
Failure function,5,ADSA
Implementation of Longest Common Subsequence (LCS),5,ADSA
LCS dynamic programming,5,ADSA
LCS implementation,5,ADSA
Pattern preprocessing,5,ADSA
Pattern searching,5,ADSA
pattern,5,ADSA
Algorithm performance,5,ADSA
Text processing algorithms,5,ADSA
String manipulation,5,ADSA
String comparison,5,ADSA
Substring searching,5,ADSA
Substring,5,ADSA
Optimization Algorithms,6,ADSA
Genetic algorithm (GA),6,ADSA
Genetic algorithm,6,ADSA
GA,6,ADSA
Genetic algorithm optimization,6,ADSA
Genetic algorithm components,6,ADSA
Genetic algorithm operators,6,ADSA
Genetic algorithm crossover,6,ADSA
Genetic algorithm mutation,6,ADSA
Genetic algorithm selection,6,ADSA
Genetic algorithm fitness function,6,ADSA
Approximation Algorithms,6,ADSA
Vertex-cover problem,6,ADSA
Vertex-cover,6,ADSA
Vertex cover,6,ADSA
Vertex-cover algorithm,6,ADSA
Approximation algorithms overview,6,ADSA
Approximation ratio,6,ADSA
Greedy approximation algorithm,6,ADSA
Parallel Computing Algorithms,6,ADSA
Parallel Computing,6,ADSA
Fast Fourier Transform (FFT),6,ADSA
Fast Fourier Transform,6,ADSA
FFT,6,ADSA
Parallel FFT implementation,6,ADSA
Parallel computing concepts,6,ADSA
Parallel algorithm design,6,ADSA
NP-Hard and NP-Complete Problems,6,ADSA
NP-Hard problems,6,ADSA
NP-Hard,6,ADSA
NP Hard,6,ADSA
NP-Complete,6,ADSA
NP Complete,6,ADSA
NP-Complete Problems,6,ADSA
classes,6,ADSA
Reduction techniques,6,ADSA
Cook's theorem,6,ADSA
Implementation of Genetic algorithm,6,ADSA
Genetic algorithm coding,6,ADSA
Genetic algorithm parameters,6,ADSA
Genetic algorithm optimization,6,ADSA
Genetic algorithm implementation details,6,ADSA
Implementation of Vertex-cover problem,6,ADSA
Vertex-cover algorithm coding,6,ADSA
NP-Hard problem implementation,6,ADSA
NP-Complete problem solution,6,ADSA
Parallel algorithm design,6,ADSA
Parallel computing concepts,6,ADSA
Parallel algorithm optimization,6,ADSA
,,
,,
Explain with example how divide and conquer strategy is in Binary Search?,5,ADSA
Explain flow shop scheduling technique,5,ADSA
Write a note on AVL tree,5,ADSA
Write an algorithm for finding maximum and minimum number from given set,5,ADSA
"What is common longest subsequence problem? Find LCS for following string 
X=ACBAED,
Y= ABCABE",10,ADSA
Which are the different methods of solving recurrences? Explain with examples,10,ADSA
Compare greedy and dynamic programming approach for an algorithm design. Explain how both can be used to solve knapsack problem,10,ADSA
Explain Huffman algorithm. Construct Huffman tree for MAHARASHTRA with its optimal code,10,ADSA
"Explain job sequencing with deadlines. Let n = 4, (p1,p2,p3,p4) = (100,10,15,27) and (d1,d2,d3,d4) = (2,1,2,1). Find optimal solution.",10,ADSA
Sort the following number using quick sort. Also derive time complexity of quick sort. 27 10 36 18 25 45,10,ADSA
"Given a chain of four matrices A1,A2,A3,A4 with P0=5, P1=4, P2=6, P3=2, P4 = 7. Find m[1,4] using matrix chain multiplication.",10,ADSA
Short note on : Rabin Karp Algorithm,10,ADSA
Short note on : Topological Sort,10,ADSA
Short note on : Knuth-Morrie-Pratt Algorithm,10,ADSA
Short note on : Red Black Tree,10,ADSA
"Compute worst case complexity for 
void fun(int n, int arr[]){ 
int i = 0, j = 0; 
for(; i < n; ++i) 
while(j < n && arr[i] < arr[j]) 
j++; 
}",5,ADSA
Differentiate between greedy method and dynamic programming.,5,ADSA
What is optimal huffman code for the frequencies a:1 b:1 c:2 d:3 e:5 f:8 g:13 h:21,5,ADSA
"Find longest common subsequence 
String x= ACBAED
String y =ABCABE",5,ADSA
"Consider knapsack problem where n=6 m= 15 and profits are (p1,p2,p3,p4,p5,p6) = (1,2,4,4,7,2) and weights are (w1,w2,w3,w4,w5,w6) = 10,5,4,2,7,3. Find maximum profit using fractional knapsack",10,ADSA
Explain divide and conquer approach. Write a recursive algorithm to determine the max and min from given elements.,10,ADSA
"Define AVL tree. Construct AVL tree for the following : 21,26,30,9,4,14,28,18,15,10,2,3,7",10,ADSA
What is optimal binary search tree? Explain with the help of example.,10,ADSA
"Give asymptotic upper bound for T(n) for the following recurrences and verify your answer using Masters theorem:
T (n) = T (n-1)+ n
",10,ADSA
"Given a set of 9 jobs (J1,J2,J3,J4,J5,J6,J7,J8,J9) where each job has a deadline (5,4,3,3,4,5,2,3,7) and profit (85,25,16,40,55,19,92,80,15) associated to it Each job takes I unit of time to complete and only one job can be scheduled at a time. We earn the profit if and only if the job is completed by its deadline. The task is to find the maximum profit and the number of jobs done.",10,ADSA
Explain Rabin Karp Algorithm,10,ADSA
Explain Genetic Algorithm,10,ADSA
Explain Minimum Cost Spanning Tree,10,ADSA
Explain Red†Black†Trees,10,ADSA
Differentiate between Greedy method and Dynamic Programming.,5,ADSA
Write an algorithm for finding minimum and maximum number from a given set,5,ADSA
Explain coin changing problem,5,ADSA
Explain Flow Shop Scheduling Technique,5,ADSA
"Define AVL tree. Construct an AVL tree for the following data.
63, 9, 19, 27, 18, 108, 99, 81
",10,ADSA
"Write an algorithm for implementing Quick sort. Also, comment on its complexity.",10,ADSA
"What is longest common subsequence problem? Find LCS for the following string:

String X: ABCDGH

String Y: AEDFHR",10,ADSA
Explain Rabin Karp Algorithm†in†detail,10,ADSA
Which are the different methods of solving recurrences? Explain with suitable examples,10,ADSA
Explain Travelling Salesman Problem with an example.,10,ADSA
Explain Huffman Algorithm. Construct a Huffman Tree and find Huffman code for the message: KARNATAKA,10,ADSA
Explain Knapsack Problem with an example.,10,ADSA
Write Short note on Genetic Algorithm,5,ADSA
Write Short note on Red and Black Tree,5,ADSA
Write Short note on Merge Sort,5,ADSA
Write Short note on Knuth Morris Pratt Algorithm,5,ADSA
Write Short note on Optimal Binary Search†Tree†(OBST),5,ADSA
Write and Explain binary search algorithm.,5,ADSA
Write a short note on job sequencing with deadline,5,ADSA
"Determine the LCS of the following sequences:
X: {A, B, C, B, D, A, B}
Y: (B, D. C, A, B, A)",5,ADSA
"Solve the sum of subsets problem for the following: n=4, m=15, w={3,5,6,7)",5,ADSA
Give the algorithm for the N-Queen's problem and give any two solutions to the 8-Queen's problem,5,ADSA
"Explain and apply NaÔve string matching on following strings
String1: COMPANION

String2:†PANI",5,ADSA
"Write algorithm for greedy knapsack and Obtain the solution to following knapsack problem where n=7,m=15 (pl,p2.....p7) = (10,5,15,7,6,18,3), (wl,w2......,w7) (2,3,5,7,1,4,1).",10,ADSA
Explain Dijkstra's Single source shortest path algorithm. Explain how it is different from Bellman Ford algorithm. Explain 15-puzzle problem using LC search technique.,10,ADSA
Rewrite and Compare Rabin Karp and Knuth Morris Pratt Algorithms Give the pseudo code for the KMP String Matching Algorithm.,10,ADSA
"Write algorithm for quick sort and sort the following elements [40,11,4,72,17,2,49]",10,ADSA
"Write algorithm programming N-4, M-21 for 0/1 knapsack problem using dynamic the following example. Also solve the following- (pl,p2,p3,p4)-(2,5,8,1),(w1w2,w3,w4)=(10,15,6,9)",10,ADSA
